"","x"
"197","X12mo.EccSph."
"198","X12mo.C.Height.Endo.."
"199","X12mo.C.Height.Epi.."
"200","X12mo.Pachy.Apex."
"201","X12mo.Pachy.Pupil."
"202","X12mo.Pachy.Sup."
"203","X12mo.Pachy.Inf."
"204","X12mo.Pachy.Nas."
"205","X12mo.Pachy.Tem."
"206","X12mo.Pachy.Min."
"207","X12mo.PachyMinX."
"208","X12mo.PachyMinY."
"209","X12mo.Sag3mm."
"210","X12mo.Sag5mm."
"211","X12mo.Sag7mm."
"212","X12mo.Sag9mm."
"213","X12mo.Sag11mm."
"214","X12mo.Sag13mm."
"215","X12mo.Sag15mm."
"216","X12mo.KPD."
"217","X12mo.Post.Sag3mm."
"218","X12mo.Post.Sag5mm."
"219","X12mo.Post.Sag7mm."
"220","X12mo.Post.Sag9mm."
"221","X12mo.Post.Sag11mm."
"222","X12mo.Post.Sag13mm."
"223","X12mo.Post.Sag15mm."
"224","X12mo.Post.KPD."
"225","X12.mo.K1.F..D.."
"226","X12.mo.K2.F..D.."
"227","X12.mo.Km.F..mm.."
"228","X12.mo.Axis.F..flat.."
"229","X12.mo.Astig.F..D.."
"230","X12.mo.K1.B..D.."
"231","X12.mo.K2.B..D.."
"232","X12.mo.Km.B..mm.."
"233","X12.mo.Axis.B..flat.."
"234","X12.mo.Astig.B..D.."
"235","X12.mo.C.Vol.D.3mm."
"236","X12.mo.C.Vol.D.5mm."
"237","X12.mo.C.Vol.D.7mm."
"238","X12.mo.C.Vol.D.10mm."
"239","X12.mo.ISV..Index.Surface.Variance."
"240","X.Calc...Last.Rh."
"241","X.Calc...Last.Rv."
"242","X.Calc...Last.Axis..flat.."
"243","X.Calc...Last.Astig."
"244","X.Calc...Last.Ecc."
"245","X.Calc...Last.EccSph."
"246","X.Calc...Last.C.Height.Endo.."
"247","X.Calc...Last.C.Height.Epi.."
"248","X.Calc...Last.Pachy.Apex."
"249","X.Calc...Last.Pachy.Pupil."
"250","X.Calc...Last.Pachy.Sup."
"251","X.Calc...Last.Pachy.Inf."
"252","X.Calc...Last.Pachy.Nas."
"253","X.Calc...Last.Pachy.Tem."
"254","X.Calc...Last.Pachy.Min."
"255","X.Calc...Last.PachyMinX."
"256","X.Calc...Last.PachyMinY."
"257","X.Calc...Last.Sag3mm."
"258","X.Calc...Last.Sag5mm."
"259","X.Calc...Last.Sag7mm."
"260","X.Calc...Last.Sag9mm."
"261","X.Calc...Last.Sag11mm."
"262","X.Calc...Last.Sag13mm."
"263","X.Calc...Last.Sag15mm."
"264","X.Calc...Last.KPD."
"265","X.Calc...Last.Post.Sag3mm."
"266","X.Calc...Last.Post.Sag5mm."
"267","X.Calc...Last.Post.Sag7mm."
"268","X.Calc...Last.Post.Sag9mm."
"269","X.Calc...Last.Post.Sag11mm."
"270","X.Calc...Last.Post.Sag13mm."
"271","X.Calc...Last.Post.Sag15mm."
"272","X.Calc...Last.Post.KPD."
"273","X.Calc...Last.K1.F..D.."
"274","X.Calc...Last.K2.F..D.."
"275","X.Calc...Last.Km.F..mm.."
"276","X.Calc...Last.Axis.F..flat.."
"277","X.Calc...Last.Astig.F..D.."
"278","X.Calc...Last.K1.B..D.."
"279","X.Calc...Last.K2.B..D.."
"280","X.Calc...Last.Km.B..mm.."
"281","X.Calc...Last.Axis.B..flat.."
"282","X.Calc...Last.Astig.B..D.."
"283","X.Calc...Last.C.Vol.D.3mm."
"284","X.Calc...Last.C.Vol.D.5mm."
"285","X.Calc...Last.C.Vol.D.7mm."
"286","X.Calc...Last.C.Vol.D.10mm."
"287","X.Calc...Last.ISV..Index.Surface.Variance."
"288","X.Calc...Delta.Last.Rh."
"289","X.Calc...Delta.Last.Rv."
"290","X.Calc...Delta.Last.Axis..flat.."
"291","X.Calc...Delta.Last.Astig."
"292","X.Calc...Delta.Last.Ecc."
"293","X.Calc...Delta.Last.EccSph."
"294","X.Calc...Delta.Last.C.Height.Endo.."
"295","X.Calc...Delta.Last.C.Height.Epi.."
"296","X.Calc...Delta.Last.Pachy.Apex."
"297","X.Calc...Delta.Last.Pachy.Pupil."
"298","X.Calc...Delta.Last.Pachy.Sup."
"299","X.Calc...Delta.Last.Pachy.Inf."
"300","X.Calc...Delta.Last.Pachy.Nas."
"301","X.Calc...Delta.Last.Pachy.Tem."
"302","X.Calc...Delta.Last.Pachy.Min."
"303","X.Calc...Delta.Last.PachyMinX."
"304","X.Calc...Delta.Last.PachyMinY."
"305","X.Calc...Delta.Last.Sag3mm."
"306","X.Calc...Delta.Last.Sag5mm."
"307","X.Calc...Delta.Last.Sag7mm."
"308","X.Calc...Delta.Last.Sag9mm."
"309","X.Calc...Delta.Last.Sag11mm."
"310","X.Calc...Delta.Last.Sag13mm."
"311","X.Calc...Delta.Last.Sag15mm."
"312","X.Calc...Delta.Last.KPD."
"313","X.Calc...Delta.Last.Post.Sag3mm."
"314","X.Calc...Delta.Last.Post.Sag5mm."
"315","X.Calc...Delta.Last.Post.Sag7mm."
"316","X.Calc...Delta.Last.Post.Sag9mm."
"317","X.Calc...Delta.Last.Post.Sag11mm."
"318","X.Calc...Delta.Last.Post.Sag13mm."
"319","X.Calc...Delta.Last.Post.Sag15mm."
"320","X.Calc...Delta.Last.Post.KPD."
"321","X.Calc...Delta.K1.F..D.."
"322","X.Calc...Delta.K2.F..D.."
"323","X.Calc...Delta.Km.F..mm.."
"324","X.Calc...Delta.Axis.F..flat.."
"325","X.Calc...Delta.Astig.F..D.."
"326","X.Calc...Delta.K1.B..D.."
"327","X.Calc...Delta.K2.B..D.."
"328","X.Calc...Delta.Km.B..mm.."
"329","X.Calc...Delta.Axis.B..flat.."
"330","X.Calc...Delta.Astig.B..D.."
"331","X.Calc...Delta.C.Vol.D.3mm."
"332","X.Calc...Delta.C.Vol.D.5mm."
"333","X.Calc...Delta.C.Vol.D.7mm."
"334","X.Calc...Delta.C.Vol.D.10mm."
"335","X.Calc...Delta.ISV..Index.Surface.Variance."
"336","X.Calc...6.vs.12.m.K1.F"
"337","X.Calc...6.vs.12.m.K2.F"
"338","X.Calc...6.vs.12.m.K1.B"
"339","X.Calc...6.vs.12.m.K2.B"
